transaction_id,target,transaction_amount,merchant_country,cardholder_country,is_foreign,transaction_hour,account_age_days,days_since_last,txn_count_30days,high_risk_amount,high_risk_country,new_account,dormant_reactivation
115,1,4190,CN,US,1,10,15,4,24,1,1,1,0
116,0,94,KR,US,1,9,490,30,4,0,0,0,0
117,0,13,US,GB,1,23,1774,32,2,0,0,0,0
118,0,65,US,US,0,3,1855,11,1,0,0,0,0
119,0,46,US,US,0,17,650,20,3,0,0,0,0
120,0,62,US,US,0,14,548,15,1,0,0,0,0
121,0,53,US,US,0,3,768,67,1,0,0,0,1
122,0,69,US,US,0,13,3236,64,3,0,0,0,1
123,0,39,US,US,0,21,2118,74,14,0,0,0,1
124,0,12,US,US,0,22,8,39,3,0,0,1,0
125,0,65,US,US,0,8,1609,44,15,0,0,0,0
126,1,88,US,US,0,2,1529,23,5,0,0,0,0
127,0,62,US,US,0,10,1744,39,2,0,0,0,0
128,0,41,US,US,0,13,1683,6,4,0,0,0,0
129,1,1560,CN,US,1,1,450,5,12,1,1,0,0
130,0,256,US,US,0,20,15,13,5,0,0,1,0
131,0,23,KR,US,1,18,11,61,10,0,0,1,0
132,1,2615,PH,US,1,14,1259,12,3,1,1,0,0
133,1,160,CN,US,1,0,1732,4,1,0,1,0,0
134,0,71,US,US,0,21,1262,33,8,0,0,0,0
135,1,531,US,US,0,20,3,37,26,0,0,1,0
136,0,30,US,US,0,10,2509,45,11,0,0,0,0
137,0,234,US,US,0,21,1275,22,12,0,0,0,0
138,1,37,US,US,0,19,598,7,25,0,0,0,0
139,0,75,GB,US,1,9,1435,84,5,0,0,0,1
140,0,62,US,US,0,9,8,12,1,0,0,1,0
141,1,176,BR,US,1,23,17,39,30,0,1,1,0
142,0,199,US,US,0,19,3279,58,13,0,0,0,0
143,0,145,US,US,0,1,1375,57,10,0,0,0,0
144,1,214,US,US,0,13,1681,44,6,0,0,0,0
145,1,549,ID,US,1,13,7,7,9,0,1,1,0
146,0,122,US,US,0,9,881,47,9,0,0,0,0
147,0,162,US,US,0,15,9,85,1,0,0,1,0
148,0,59,US,US,0,22,2793,82,4,0,0,0,1
149,0,63,US,US,0,20,486,80,15,0,0,0,1
150,0,41,US,US,0,16,1359,90,12,0,0,0,1
151,0,70,US,US,0,13,2601,90,4,0,0,0,1
152,1,261,BR,US,1,2,16,5,14,0,1,1,0
153,0,98,US,US,0,14,1564,66,15,0,0,0,1
154,1,1886,US,US,0,3,1478,2,3,1,0,0,0
155,0,24,US,US,0,12,18,55,5,0,0,1,0
156,0,488,US,US,0,8,2101,55,7,0,0,0,0
157,0,72,US,US,0,15,3061,31,5,0,0,0,0
158,1,70,CN,US,1,16,22,37,5,0,1,1,0
159,0,42,AU,US,1,0,1566,13,4,0,0,0,0
160,0,164,US,US,0,12,1879,41,14,0,0,0,0
161,0,45,US,US,0,22,1095,40,10,0,0,0,0
162,0,646,US,US,0,20,2410,73,15,0,0,0,1
163,0,25,US,GB,1,16,2518,90,2,0,0,0,1
164,1,91,BR,US,1,16,1117,1,5,0,1,0,0
165,1,210,RU,US,1,9,681,2,17,0,1,0,0
166,1,596,ID,US,1,2,1574,1,28,0,1,0,0
167,0,119,US,US,0,12,1741,15,3,0,0,0,0
168,0,86,US,US,0,12,1036,13,8,0,0,0,0
169,1,70,US,US,0,19,219,21,27,0,0,0,0
170,1,912,PH,US,1,2,225,6,27,0,1,0,0
171,1,601,PH,US,1,21,1281,14,22,0,1,0,0
172,0,50,US,US,0,22,3535,44,6,0,0,0,0
173,1,1839,TH,US,1,0,22,5,1,1,1,1,0
174,0,61,US,US,0,16,2885,45,5,0,0,0,0
175,0,48,US,US,0,21,28,77,3,0,0,1,0
176,0,28,US,US,0,15,2467,2,2,0,0,0,0
177,1,429,US,US,0,3,88,2,8,0,0,0,0
178,1,1765,US,US,0,3,23,4,29,1,0,1,0
179,0,170,US,US,0,10,1125,15,3,0,0,0,0
180,0,45,US,US,0,10,1670,72,11,0,0,0,1
181,0,14,US,CA,1,10,458,12,6,0,0,0,0
182,1,0,US,US,0,23,1288,1,1,0,0,0,0
183,0,113,US,US,0,10,2969,87,5,0,0,0,1
184,0,3,US,US,0,22,2923,74,1,0,0,0,1
185,0,10,US,US,0,1,1390,33,7,0,0,0,0
186,0,72,US,US,0,22,1039,21,9,0,0,0,0
187,0,27,US,US,0,8,2939,89,3,0,0,0,1
188,0,76,US,US,0,12,247,58,5,0,0,0,0
189,0,22,US,US,0,18,3088,50,6,0,0,0,0
190,0,31,US,US,0,20,2095,80,13,0,0,0,1
191,0,42,US,US,0,13,639,54,5,0,0,0,0
192,0,74,US,US,0,20,436,45,6,0,0,0,0
193,0,54,US,US,0,20,1459,49,5,0,0,0,0
194,0,237,US,GB,1,12,2951,81,4,0,0,0,1
195,1,93,PH,US,1,1,1602,59,3,0,1,0,0
196,0,35,JP,US,1,10,982,61,10,0,0,0,1
197,1,807,US,US,0,18,553,50,4,0,0,0,0
198,0,27,US,US,0,19,39,37,6,0,0,0,0
199,0,103,US,US,0,15,1080,12,2,0,0,0,0
200,1,104,US,US,0,0,525,24,9,0,0,0,0
201,1,75,ID,US,1,3,72,38,8,0,1,0,0
202,1,1361,KP,US,1,2,1050,10,5,0,1,0,0
203,0,53,US,US,0,11,99,27,12,0,0,0,0
204,0,98,US,US,0,9,1579,76,2,0,0,0,1
205,1,2231,US,US,0,19,26,18,30,1,0,1,0
206,1,198,RU,US,1,0,2,4,13,0,1,1,0
207,0,211,US,US,0,15,2619,19,13,0,0,0,0
208,1,3311,CN,US,1,15,1066,6,15,1,1,0,0
209,1,1756,TH,US,1,2,1045,2,1,1,1,0,0
210,0,31,US,US,0,15,1701,60,14,0,0,0,0
211,1,105,VN,US,1,23,747,6,19,0,1,0,0
212,1,1113,KP,US,1,13,9,5,30,0,1,1,0
213,1,233,US,US,0,18,242,6,6,0,0,0,0
214,0,57,US,US,0,19,1788,10,3,0,0,0,0
215,0,143,US,US,0,13,220,49,9,0,0,0,0
216,1,61,RU,US,1,16,1509,15,26,0,1,0,0
217,0,69,US,US,0,17,2034,60,13,0,0,0,0
218,0,224,US,US,0,21,2861,51,1,0,0,0,0
219,0,36,DE,US,1,11,2526,83,12,0,0,0,1
220,1,451,TH,US,1,19,1471,6,18,0,1,0,0
221,0,81,US,US,0,20,499,3,9,0,0,0,0
222,1,144,NG,US,1,3,1170,7,5,0,1,0,0
223,0,213,US,US,0,12,34,35,15,0,0,0,0
224,1,2733,ID,US,1,22,56,3,3,1,1,0,0
225,1,65,NG,US,1,0,1313,34,19,0,1,0,0
226,1,105,US,US,0,2,1493,5,3,0,0,0,0
227,0,69,US,US,0,19,2,47,8,0,0,1,0
228,1,2865,CN,US,1,3,171,34,4,1,1,0,0
229,0,80,US,US,0,21,3102,23,5,0,0,0,0
230,1,3147,PH,US,1,22,16,4,13,1,1,1,0
231,1,133,NG,US,1,0,14,5,21,0,1,1,0
232,0,76,KR,US,1,11,875,85,1,0,0,0,1
233,1,737,US,US,0,0,8,36,1,0,0,1,0
234,0,36,US,US,0,12,12,13,13,0,0,1,0
235,0,15,US,US,0,20,1743,51,12,0,0,0,0
236,0,218,US,US,0,12,2986,75,12,0,0,0,1
237,0,41,US,US,0,19,316,27,2,0,0,0,0
238,1,1840,US,US,0,23,19,3,5,1,0,1,0
239,1,1276,TH,US,1,20,930,32,7,0,1,0,0
240,0,63,US,US,0,8,2345,26,5,0,0,0,0
241,1,129,US,US,0,21,15,5,6,0,0,1,0
242,1,18,VN,US,1,14,29,6,17,0,1,1,0
243,0,28,US,US,0,22,2419,14,5,0,0,0,0
244,0,64,US,US,0,22,2966,69,3,0,0,0,1
245,1,130,TH,US,1,1,1381,58,1,0,1,0,0
246,0,44,US,US,0,18,3038,90,10,0,0,0,1
247,0,16,US,US,0,11,1582,5,13,0,0,0,0
248,0,51,US,US,0,20,3185,51,4,0,0,0,0
249,1,2527,US,AU,1,16,655,6,19,1,0,0,0
250,1,41,BR,US,1,17,1239,31,8,0,1,0,0
251,0,75,US,US,0,0,3556,22,5,0,0,0,0
252,1,673,BR,US,1,19,424,3,9,0,1,0,0
253,1,124,PH,US,1,19,6,36,2,0,1,1,0
254,1,51,BR,US,1,22,1783,4,28,0,1,0,0
255,0,62,US,US,0,21,2436,73,4,0,0,0,1
256,0,65,US,US,0,18,2671,67,5,0,0,0,1
257,0,30,US,US,0,8,2018,90,2,0,0,0,1
258,1,15,US,US,0,11,27,5,14,0,0,1,0
259,1,56,US,US,0,12,1397,7,17,0,0,0,0
260,1,38,ID,US,1,20,58,45,2,0,1,0,0
261,0,186,US,US,0,20,3295,45,6,0,0,0,0
262,0,37,US,US,0,17,743,77,11,0,0,0,1
263,0,43,US,US,0,8,710,82,3,0,0,0,1
264,0,56,US,US,0,12,3461,42,8,0,0,0,0
265,1,85,US,US,0,2,15,4,9,0,0,1,0
266,0,93,US,US,0,8,3367,20,5,0,0,0,0
267,0,27,US,US,0,9,1701,24,8,0,0,0,0
268,0,94,US,US,0,13,2878,29,10,0,0,0,0
269,0,45,US,US,0,16,2045,23,1,0,0,0,0
270,1,191,KP,US,1,3,14,7,4,0,1,1,0
271,1,145,US,US,0,23,8,38,8,0,0,1,0
272,1,120,BR,US,1,23,235,7,16,0,1,0,0
273,0,92,FR,US,1,10,1003,71,1,0,0,0,1
274,0,92,US,US,0,10,14,64,5,0,0,1,0
275,0,26,DE,US,1,11,290,58,9,0,0,0,0
276,0,55,AU,US,1,17,3231,42,4,0,0,0,0
277,0,180,US,US,0,10,2276,42,5,0,0,0,0
278,0,63,US,US,0,15,863,8,10,0,0,0,0
279,0,10,US,US,0,22,2069,52,1,0,0,0,0
280,1,110,ID,US,1,1,1298,7,19,0,1,0,0
281,0,502,US,US,0,16,69,54,15,0,0,0,0
282,1,405,VN,US,1,0,16,50,16,0,1,1,0
283,0,190,US,US,0,15,592,14,11,0,0,0,0
284,0,284,US,US,0,21,2756,80,2,0,0,0,1
285,0,16,US,US,0,0,2661,44,4,0,0,0,0
286,1,528,TH,US,1,3,1011,7,18,0,1,0,0
287,0,28,US,US,0,11,3352,39,2,0,0,0,0
288,0,34,US,US,0,20,2266,35,15,0,0,0,0
289,1,83,ID,US,1,3,7,13,29,0,1,1,0
290,0,381,JP,US,1,8,12,45,5,0,0,1,0
291,0,61,US,US,0,8,2548,47,3,0,0,0,0
292,0,101,CA,US,1,14,11,87,3,0,0,1,0
293,0,211,US,US,0,19,3194,21,4,0,0,0,0
294,0,13,US,GB,1,23,143,52,11,0,0,0,0
295,0,49,US,US,0,13,1626,41,3,0,0,0,0
296,1,264,RU,CA,1,2,1173,24,17,0,1,0,0
297,0,63,US,US,0,0,2286,58,8,0,0,0,0
298,0,645,US,US,0,15,3582,11,1,0,0,0,0
299,1,2432,CN,US,1,20,1666,7,8,1,1,0,0
300,1,528,US,US,0,18,25,27,1,0,0,1,0
301,1,1756,BR,US,1,2,211,33,7,1,1,0,0
302,0,54,CA,US,1,16,7,75,9,0,0,1,0
303,1,670,BR,US,1,20,1131,1,10,0,1,0,0
304,1,103,US,US,0,22,1338,7,26,0,0,0,0
305,0,63,US,US,0,13,2115,82,5,0,0,0,1
306,0,23,US,US,0,21,3624,13,8,0,0,0,0
307,0,3,US,US,0,20,95,50,2,0,0,0,0
308,0,57,US,US,0,17,1829,79,14,0,0,0,1
309,0,62,MX,US,1,1,2519,70,3,0,0,0,1
310,1,515,US,US,0,12,281,4,16,0,0,0,0
311,0,60,GB,US,1,22,2936,49,10,0,0,0,0
312,1,72,TH,US,1,2,570,31,15,0,1,0,0
313,0,456,US,US,0,8,3385,39,2,0,0,0,0
314,0,40,US,US,0,15,2676,59,4,0,0,0,0
315,1,83,US,US,0,3,230,3,29,0,0,0,0
316,1,69,VN,US,1,0,23,1,5,0,1,1,0
317,0,93,US,US,0,13,2352,46,2,0,0,0,0
318,0,20,US,US,0,20,2288,5,13,0,0,0,0
319,0,50,US,US,0,14,1407,60,2,0,0,0,0
320,0,59,US,US,0,17,2643,87,1,0,0,0,1
321,0,35,US,US,0,12,2347,10,7,0,0,0,0
322,1,871,PH,US,1,19,25,8,7,0,1,1,0
323,0,538,US,US,0,20,2,74,1,0,0,1,0
324,0,35,US,US,0,21,3176,33,13,0,0,0,0
325,0,90,US,US,0,9,596,60,12,0,0,0,0
326,0,77,US,US,0,14,11,84,14,0,0,1,0
327,0,61,US,US,0,4,2408,32,5,0,0,0,0
328,0,47,US,US,0,14,3161,30,10,0,0,0,0
329,1,565,US,US,0,0,907,45,18,0,0,0,0
330,1,457,KP,US,1,21,746,51,9,0,1,0,0
331,1,93,PH,US,1,18,1291,6,5,0,1,0,0
332,0,8,US,US,0,10,2247,20,7,0,0,0,0
333,0,20,US,US,0,8,2627,20,11,0,0,0,0
334,1,477,US,US,0,15,27,3,9,0,0,1,0
335,0,291,US,US,0,19,1322,20,1,0,0,0,0
336,0,249,US,US,0,11,648,60,3,0,0,0,0
337,0,206,US,US,0,14,345,43,4,0,0,0,0
338,0,73,US,US,0,13,3609,5,1,0,0,0,0
339,1,718,VN,US,1,22,477,15,4,0,1,0,0
340,0,579,US,US,0,19,14,90,7,0,0,1,0
341,0,68,US,US,0,18,25,7,1,0,0,1,0
342,0,48,US,US,0,9,3466,48,4,0,0,0,0
343,0,52,US,US,0,21,1441,21,2,0,0,0,0
344,1,117,VN,US,1,18,17,20,15,0,1,1,0
345,0,32,US,US,0,9,393,67,14,0,0,0,1
346,0,56,US,US,0,22,2904,31,5,0,0,0,0
347,0,48,US,US,0,9,2574,25,2,0,0,0,0
348,1,652,US,US,0,3,996,2,6,0,0,0,0
349,0,75,US,US,0,14,1400,69,4,0,0,0,1
350,0,118,US,US,0,19,26,40,1,0,0,1,0
351,0,41,US,US,0,8,18,17,12,0,0,1,0
352,0,81,US,US,0,10,1878,38,13,0,0,0,0
353,0,48,US,US,0,8,3612,86,4,0,0,0,1
354,0,55,US,US,0,19,1782,85,3,0,0,0,1
355,1,531,KP,US,1,3,14,23,16,0,1,1,0
356,0,20,US,US,0,5,2927,70,15,0,0,0,1
357,0,199,DE,AU,1,18,3077,89,1,0,0,0,1
358,0,74,US,AU,1,22,1979,20,7,0,0,0,0
359,1,1407,NG,US,1,11,8,2,5,0,1,1,0
360,1,871,CN,US,1,21,391,2,4,0,1,0,0
361,0,828,US,US,0,4,1303,53,4,0,0,0,0
362,1,93,ID,US,1,22,904,6,18,0,1,0,0
363,0,17,US,US,0,16,952,31,5,0,0,0,0
364,0,55,US,US,0,8,1,1,5,0,0,1,0
365,1,1978,PH,US,1,23,29,27,3,1,1,1,0
366,0,58,US,US,0,11,2838,40,7,0,0,0,0
367,1,116,NG,US,1,3,225,19,28,0,1,0,0
368,1,1531,TH,US,1,3,64,50,1,1,1,0,0
369,1,98,RU,US,1,2,1798,3,5,0,1,0,0
370,0,41,US,US,0,14,2986,73,9,0,0,0,1
371,1,2784,NG,US,1,3,961,23,6,1,1,0,0
372,1,1507,CN,US,1,18,1609,4,1,1,1,0,0
373,1,195,NG,US,1,19,1269,7,15,0,1,0,0
374,0,123,US,US,0,20,2324,45,12,0,0,0,0
375,0,173,US,US,0,8,2062,9,1,0,0,0,0
376,0,60,FR,US,1,3,16,18,14,0,0,1,0
377,0,28,JP,US,1,19,2294,85,13,0,0,0,1
378,0,116,US,US,0,21,2452,55,15,0,0,0,0
379,0,74,US,US,0,16,2677,8,4,0,0,0,0
380,0,41,US,US,0,19,2373,3,2,0,0,0,0
381,1,2931,RU,US,1,22,1,6,27,1,1,1,0
382,1,59,KP,US,1,18,89,1,12,0,1,0,0
383,0,95,US,US,0,11,793,78,1,0,0,0,1
384,0,101,US,US,0,22,2318,27,10,0,0,0,0
385,1,373,CN,US,1,0,899,26,5,0,1,0,0
386,0,134,US,US,0,19,2785,44,2,0,0,0,0
387,1,2713,RU,US,1,0,1581,1,3,1,1,0,0
388,0,69,US,US,0,11,2535,35,14,0,0,0,0
389,0,34,US,US,0,16,3168,66,2,0,0,0,1
390,0,55,US,US,0,21,12,33,4,0,0,1,0
391,0,18,US,US,0,23,308,74,12,0,0,0,1
392,0,25,US,US,0,12,97,19,7,0,0,0,0
393,0,78,US,US,0,16,2617,51,14,0,0,0,0
394,0,55,US,US,0,20,1203,61,9,0,0,0,1
395,0,63,US,US,0,0,1874,56,2,0,0,0,0
396,1,2183,US,US,0,21,1218,15,15,1,0,0,0
397,0,241,US,US,0,17,2351,75,15,0,0,0,1
398,0,564,US,US,0,16,319,80,2,0,0,0,1
399,0,71,US,CA,1,21,25,80,1,0,0,1,0
400,0,146,US,US,0,8,1590,38,14,0,0,0,0
401,0,79,AU,US,1,10,352,53,11,0,0,0,0
402,1,2027,US,US,0,18,1648,1,23,1,0,0,0
403,0,74,CA,US,1,20,36,34,3,0,0,0,0
404,1,2892,TH,US,1,3,22,4,9,1,1,1,0
405,1,99,KP,US,1,3,1403,7,20,0,1,0,0
406,1,2622,NG,US,1,22,432,1,4,1,1,0,0
407,1,424,BR,US,1,20,419,18,6,0,1,0,0
408,0,65,US,US,0,8,30,40,13,0,0,1,0
409,0,6,US,US,0,8,1944,76,1,0,0,0,1
410,1,69,TH,US,1,15,7,7,30,0,1,1,0
411,0,45,US,US,0,15,300,11,12,0,0,0,0
412,1,1047,RU,GB,1,18,817,7,29,0,1,0,0
413,1,509,RU,US,1,0,23,1,4,0,1,1,0
414,0,237,US,US,0,2,879,53,9,0,0,0,0
415,1,2268,NG,AU,1,0,877,54,4,1,1,0,0
416,1,135,NG,US,1,2,654,6,4,0,1,0,0
417,0,37,US,US,0,14,1254,12,5,0,0,0,0
418,0,268,US,CA,1,22,2870,34,3,0,0,0,0
419,1,1544,US,US,0,23,1409,3,5,1,0,0,0
420,1,90,PH,US,1,20,345,58,22,0,1,0,0
421,1,624,NG,US,1,18,18,31,7,0,1,1,0
422,0,264,CA,US,1,20,776,32,2,0,0,0,0
423,1,130,ID,US,1,2,22,31,5,0,1,1,0
424,1,340,US,US,0,0,617,3,28,0,0,0,0
425,0,58,KR,US,1,13,1368,12,2,0,0,0,0
426,0,707,KR,US,1,8,208,86,10,0,0,0,1
427,0,102,US,US,0,9,3078,28,3,0,0,0,0
428,1,627,ID,US,1,2,469,14,10,0,1,0,0
429,0,58,US,CA,1,22,2916,53,9,0,0,0,0
430,0,1,US,US,0,10,170,42,12,0,0,0,0
431,0,111,US,US,0,21,1056,35,1,0,0,0,0
432,1,1125,KP,US,1,23,12,39,3,0,1,1,0
433,0,49,US,US,0,13,8,46,4,0,0,1,0
434,0,61,US,US,0,18,3641,26,2,0,0,0,0
435,0,31,US,CA,1,11,561,6,5,0,0,0,0
436,0,112,US,US,0,14,2340,37,3,0,0,0,0
437,1,1023,VN,US,1,18,1018,42,6,0,1,0,0
438,0,39,US,US,0,13,2272,30,1,0,0,0,0
439,1,2111,US,US,0,18,1346,3,23,1,0,0,0
440,0,168,US,US,0,11,419,86,2,0,0,0,1
441,0,75,US,US,0,10,1168,19,12,0,0,0,0
442,0,45,US,US,0,17,2233,70,5,0,0,0,1
443,0,85,US,US,0,15,2080,21,12,0,0,0,0
444,0,19,JP,US,1,18,3021,2,5,0,0,0,0
445,1,47,RU,US,1,18,10,40,7,0,1,1,0
446,0,78,US,US,0,15,3122,73,2,0,0,0,1
447,0,83,US,US,0,17,1950,83,4,0,0,0,1
448,0,71,US,US,0,20,1463,11,3,0,0,0,0
449,0,144,KR,US,1,9,2819,9,10,0,0,0,0
450,0,13,US,US,0,14,2572,67,15,0,0,0,1
451,0,45,US,US,0,22,146,54,3,0,0,0,0
452,1,13,BR,US,1,22,706,1,2,0,1,0,0
453,1,385,BR,US,1,0,1629,60,3,0,1,0,0
454,1,118,BR,US,1,22,14,6,7,0,1,1,0
455,1,694,BR,US,1,23,1301,3,18,0,1,0,0
456,1,551,PH,US,1,19,25,1,16,0,1,1,0
457,0,255,US,US,0,22,1194,20,2,0,0,0,0
458,0,27,US,US,0,10,3572,53,3,0,0,0,0
459,0,859,US,US,0,7,1242,52,1,0,0,0,0
460,0,14,US,US,0,23,170,23,6,0,0,0,0
461,0,29,US,US,0,13,3324,41,3,0,0,0,0
462,0,55,US,GB,1,4,1450,28,12,0,0,0,0
463,0,29,US,US,0,9,18,19,13,0,0,1,0
464,1,67,PH,US,1,21,63,28,5,0,1,0,0
465,0,121,US,US,0,2,2281,44,10,0,0,0,0
466,0,12,US,US,0,8,2138,2,6,0,0,0,0
467,0,154,US,US,0,11,3208,39,4,0,0,0,0
468,0,21,US,US,0,13,2365,42,15,0,0,0,0
469,0,40,US,US,0,11,793,39,12,0,0,0,0
470,0,133,US,US,0,14,3414,18,4,0,0,0,0
471,1,139,RU,US,1,0,1600,5,5,0,1,0,0
472,0,65,US,US,0,0,27,43,15,0,0,1,0
473,1,96,BR,US,1,22,8,5,3,0,1,1,0
474,0,40,US,US,0,8,2573,76,5,0,0,0,1
475,0,83,US,CA,1,21,26,75,2,0,0,1,0
476,0,225,DE,US,1,19,3645,34,13,0,0,0,0
